id,requirement,minimum_acceptance,status,owner_role,named_owner,release_baseline,verification_method,implementation,stored_evidence,limitations,production_acceptance
COV-001,"The system SHALL maintain a versioned inventory of every declared execution path for each protected action, including web UI, mobile, API, CLI, batch, import, service account, direct database, recovery and emergency paths.","A test tenant shows every configured path with owner, target, last evidence time and status.",NOT_IMPLEMENTED,Coverage/integration owner,Not assigned; required before production,R2,Source inspection / analysis; external acceptance still required,src/coverage.mjs; src/fabric.mjs,docs/PRODUCTION-ACCEPTANCE.md,"Actual target discovery, drift agents, independently executed bypass tests and historical guarantee intervals are not established. All manifests suppress production guarantee.",NOT_APPROVED
COV-002,"Every path SHALL be labelled ENFORCED, MONITORED, UNCOVERED or UNKNOWN; no other state may be represented as protected.",API and UI reject a “protected” badge when any required path is UNCOVERED or UNKNOWN.,VERIFIED_IN_ENGINEERING_PROFILE,Coverage/integration owner,Not assigned; required before production,R2,Automated test / simulation,src/coverage.mjs; src/fabric.mjs,tests/runtime-audit.test.mjs; reports/tests.tap; reports/final-regression.tap,"Actual target discovery, drift agents, independently executed bypass tests and historical guarantee intervals are not established. All manifests suppress production guarantee.",NOT_APPROVED
COV-003,"The Coverage Mapper SHALL record the evidence supporting ENFORCED status, including connector configuration, credential ownership, target rejection behaviour and last negative test.",An assessor can export the evidence bundle and reproduce the rejection test.,PARTIAL,Coverage/integration owner,Not assigned; required before production,R2,Source inspection / analysis; external acceptance still required,src/coverage.mjs; src/fabric.mjs,docs/PRODUCTION-ACCEPTANCE.md,"Actual target discovery, drift agents, independently executed bypass tests and historical guarantee intervals are not established. All manifests suppress production guarantee.",NOT_APPROVED
COV-004,"The system SHALL detect drift in relevant target configuration, credentials, permissions, endpoints and integration versions.",A controlled configuration change moves the affected path to UNKNOWN within the configured detection window.,NOT_IMPLEMENTED,Coverage/integration owner,Not assigned; required before production,R2,Source inspection / analysis; external acceptance still required,src/coverage.mjs; src/fabric.mjs,docs/PRODUCTION-ACCEPTANCE.md,"Actual target discovery, drift agents, independently executed bypass tests and historical guarantee intervals are not established. All manifests suppress production guarantee.",NOT_APPROVED
COV-005,The system SHALL block publication of an enforcement guarantee when evidence is stale beyond the customer-defined maximum age.,Expired evidence automatically changes the claim state and generates an owner task.,PARTIAL,Coverage/integration owner,Not assigned; required before production,R2,Source inspection / analysis; external acceptance still required,src/coverage.mjs; src/fabric.mjs,docs/PRODUCTION-ACCEPTANCE.md,"Actual target discovery, drift agents, independently executed bypass tests and historical guarantee intervals are not established. All manifests suppress production guarantee.",NOT_APPROVED
COV-006,"Coverage status SHALL be scoped by tenant, action type, target instance, environment and connector version.",Two environments can hold different coverage states without cross-contamination.,PARTIAL,Coverage/integration owner,Not assigned; required before production,R2,Source inspection / analysis; external acceptance still required,src/coverage.mjs; src/fabric.mjs,docs/PRODUCTION-ACCEPTANCE.md,"Actual target discovery, drift agents, independently executed bypass tests and historical guarantee intervals are not established. All manifests suppress production guarantee.",NOT_APPROVED
COV-007,The platform SHALL expose a machine-readable Coverage Manifest signed by the customer trust root or delegated policy key.,Manifest signature verifies independently and includes all scoped paths.,VERIFIED_IN_ENGINEERING_PROFILE,Coverage/integration owner,Not assigned; required before production,R2,Automated test / simulation,src/coverage.mjs; src/fabric.mjs,tests/runtime-audit.test.mjs; reports/tests.tap; reports/final-regression.tap,"Actual target discovery, drift agents, independently executed bypass tests and historical guarantee intervals are not established. All manifests suppress production guarantee.",NOT_APPROVED
COV-008,The Coverage Mapper SHALL support manual declarations only as MONITORED or UNKNOWN until technical enforcement evidence is attached.,A manual checkbox alone cannot produce ENFORCED.,VERIFIED_IN_ENGINEERING_PROFILE,Coverage/integration owner,Not assigned; required before production,R2,Automated test / simulation,src/coverage.mjs; src/fabric.mjs,tests/runtime-audit.test.mjs; reports/tests.tap; reports/final-regression.tap,"Actual target discovery, drift agents, independently executed bypass tests and historical guarantee intervals are not established. All manifests suppress production guarantee.",NOT_APPROVED
COV-009,The system SHALL retain historical coverage states and the exact time intervals in which guarantees were active.,Audit query reconstructs coverage at an arbitrary historical timestamp.,PARTIAL,Coverage/integration owner,Not assigned; required before production,R2,Source inspection / analysis; external acceptance still required,src/coverage.mjs; src/fabric.mjs,docs/PRODUCTION-ACCEPTANCE.md,"Actual target discovery, drift agents, independently executed bypass tests and historical guarantee intervals are not established. All manifests suppress production guarantee.",NOT_APPROVED
COV-010,The system SHALL provide a pre-deployment bypass-test plan for every newly declared protected action.,Connector cannot enter production without test cases assigned and executed.,NOT_IMPLEMENTED,Coverage/integration owner,Not assigned; required before production,R2,Source inspection / analysis; external acceptance still required,src/coverage.mjs; src/fabric.mjs,docs/PRODUCTION-ACCEPTANCE.md,"Actual target discovery, drift agents, independently executed bypass tests and historical guarantee intervals are not established. All manifests suppress production guarantee.",NOT_APPROVED
